unit_id,target,model,metric,value
9,target_export,ttm2_zero,mape,175.9632110595703
9,target_export,ttm2_zero,smape,105.4266357421875
9,target_export,persistence,mae,209.4636993408203
9,target_export,persistence,mse,103047.1328125
9,target_export,persistence,rmse,321.00955252531037
9,target_export,persistence,mape,82.65058898925781
9,target_export,persistence,smape,157.36831665039062
9,target_export,seasonal_naive,mae,117.78607940673828
9,target_export,seasonal_naive,mse,38293.05078125
9,target_export,seasonal_naive,rmse,195.68610267786008
9,target_export,seasonal_naive,mape,62.4644775390625
9,target_export,seasonal_naive,smape,97.66024017333984
9,target_import,ttm2_zero,mae,11.822967529296875
9,target_import,ttm2_zero,mse,229.2136993408203
9,target_import,ttm2_zero,rmse,15.139805128891862
9,target_import,ttm2_zero,mape,42.86277389526367
9,target_import,ttm2_zero,smape,41.068050384521484
9,target_import,persistence,mae,23.43837547302246
9,target_import,persistence,mse,772.0790405273438
9,target_import,persistence,rmse,27.786310307907808
9,target_import,persistence,mape,194.47976684570312
9,target_import,persistence,smape,65.84130096435547
9,target_import,seasonal_naive,mae,8.449957847595215
9,target_import,seasonal_naive,mse,117.65753173828125
9,target_import,seasonal_naive,rmse,10.84700565770486
9,target_import,seasonal_naive,mape,40.70314025878906
9,target_import,seasonal_naive,smape,34.86418533325195
10,target_export,ttm2_zero,mae,42.44639587402344
10,target_export,ttm2_zero,mse,5127.708984375
10,target_export,ttm2_zero,rmse,71.60802318438206
10,target_export,ttm2_zero,mape,1228.3526611328125
10,target_export,ttm2_zero,smape,100.13656616210938
10,target_export,persistence,mae,122.17788696289062
10,target_export,persistence,mse,35231.66015625
10,target_export,persistence,rmse,187.70098602897642
10,target_export,persistence,mape,15327.0478515625
10,target_export,persistence,smape,158.78175354003906
10,target_export,seasonal_naive,mae,74.16864013671875
10,target_export,seasonal_naive,mse,14452.6904296875
10,target_export,seasonal_naive,rmse,120.2193429930787
10,target_export,seasonal_naive,mape,24985.064453125
10,target_export,seasonal_naive,smape,88.50516510009766
10,target_import,ttm2_zero,mae,85.6364517211914
10,target_import,ttm2_zero,mse,10746.646484375
10,target_import,ttm2_zero,rmse,103.66603341680919
10,target_import,ttm2_zero,mape,27.097219467163086
10,target_import,ttm2_zero,smape,22.909290313720703
10,target_import,persistence,mae,68.98668670654297
10,target_import,persistence,mse,8632.5107421875
10,target_import,persistence,rmse,92.91130578238312
10,target_import,persistence,mape,24.12323570251465
10,target_import,persistence,smape,19.497108459472656
10,target_import,seasonal_naive,mae,92.1568374633789
10,target_import,seasonal_naive,mse,16015.3359375
10,target_import,seasonal_naive,rmse,126.55171250322928
10,target_import,seasonal_naive,mape,31.92826271057129
10,target_import,seasonal_naive,smape,24.26619529724121
11,target_export,ttm2_zero,mae,21.854822158813477
11,target_export,ttm2_zero,mse,1117.06201171875
11,target_export,ttm2_zero,rmse,33.422477641831854
11,target_export,ttm2_zero,mape,721.261474609375
11,target_export,ttm2_zero,smape,90.05664825439453
11,target_export,persistence,mae,83.10018157958984
11,target_export,persistence,mse,16329.91015625
11,target_export,persistence,rmse,127.78853687342226
