unit_id,target,model,metric,value
22,target_export,flowstate,mse,4428.31396484375
22,target_export,flowstate,rmse,66.5455781013566
22,target_export,flowstate,mape,3073252.5
22,target_export,flowstate,smape,99.52010345458984
22,target_import,flowstate,mae,56.297454833984375
22,target_import,flowstate,mse,5942.25146484375
22,target_import,flowstate,rmse,77.0860004465386
22,target_import,flowstate,mape,554.0938720703125
22,target_import,flowstate,smape,49.94747543334961
23,target_export,flowstate,mae,190.0784454345703
23,target_export,flowstate,mse,87844.0390625
23,target_export,flowstate,rmse,296.3849508030055
23,target_export,flowstate,mape,156.33563232421875
23,target_export,flowstate,smape,75.71382141113281
23,target_import,flowstate,mae,189.1435089111328
23,target_import,flowstate,mse,55226.18359375
23,target_import,flowstate,rmse,235.0025182710815
23,target_import,flowstate,mape,36.82260513305664
23,target_import,flowstate,smape,29.0930118560791
24,target_export,flowstate,mae,19.856321334838867
24,target_export,flowstate,mse,1392.5572509765625
24,target_export,flowstate,rmse,37.316983412068055
24,target_export,flowstate,mape,1172.419189453125
24,target_export,flowstate,smape,119.85477447509766
24,target_import,flowstate,mae,36.78460693359375
24,target_import,flowstate,mse,3331.339111328125
24,target_import,flowstate,rmse,57.71775386593041
24,target_import,flowstate,mape,161.8434600830078
24,target_import,flowstate,smape,37.44769287109375
25,target_export,flowstate,mae,52.80706787109375
25,target_export,flowstate,mse,6418.32177734375
25,target_export,flowstate,rmse,80.11442927053622
25,target_export,flowstate,mape,50.151039123535156
25,target_export,flowstate,smape,65.83517456054688
25,target_import,flowstate,mae,22.839372634887695
25,target_import,flowstate,mse,728.1282348632812
25,target_import,flowstate,rmse,26.98385137194617
25,target_import,flowstate,mape,66.40347290039062
25,target_import,flowstate,smape,46.414939880371094
27,target_export,flowstate,mae,236.9820098876953
27,target_export,flowstate,mse,117345.4609375
27,target_export,flowstate,rmse,342.55723746185834
27,target_export,flowstate,mape,56.52158737182617
27,target_export,flowstate,smape,76.01211547851562
27,target_import,flowstate,mae,36.1889533996582
27,target_import,flowstate,mse,2018.5361328125
27,target_import,flowstate,rmse,44.92812184826448
27,target_import,flowstate,mape,36.305084228515625
27,target_import,flowstate,smape,30.375656127929688
28,target_export,flowstate,mae,974.9874877929688
28,target_export,flowstate,mse,2190872.25
28,target_export,flowstate,rmse,1480.159535320433
28,target_export,flowstate,mape,89.96819305419922
28,target_export,flowstate,smape,172.99655151367188
28,target_import,flowstate,mae,183.6048126220703
28,target_import,flowstate,mse,47963.859375
28,target_import,flowstate,rmse,219.00652815612597
28,target_import,flowstate,mape,527.6719360351562
28,target_import,flowstate,smape,70.69630432128906
29,target_export,flowstate,mae,105.54297637939453
29,target_export,flowstate,mse,45361.296875
29,target_export,flowstate,rmse,212.981916779336
29,target_export,flowstate,mape,4891954.5
29,target_export,flowstate,smape,101.18632507324219
29,target_import,flowstate,mae,188.17352294921875
29,target_import,flowstate,mse,62858.57421875
29,target_import,flowstate,rmse,250.71612277384557
29,target_import,flowstate,mape,627.1703491210938
29,target_import,flowstate,smape,58.4725456237793
30,target_export,flowstate,mae,164.7163543701172
30,target_export,flowstate,mse,68450.0859375
30,target_export,flowstate,rmse,261.6296732740765
30,target_export,flowstate,mape,58.07197570800781
30,target_export,flowstate,smape,82.10368347167969
30,target_import,flowstate,mae,88.9012451171875
30,target_import,flowstate,mse,20040.748046875
